,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,151141.0,88447.0,120005.0,75243.0,9999.0
1,151058.0,88447.0,120005.0,75243.0,9999.0
2,147874.0,88550.0,120086.0,75334.0,10157.0
3,148875.0,88779.0,120259.0,75529.0,10183.0
4,152020.0,89177.0,120562.0,75874.0,10379.0
5,161876.0,89735.0,120898.0,76306.0,10614.0
6,157332.0,90299.0,121221.0,76784.0,10896.0
7,157094.0,90888.0,121713.0,77333.0,11292.0
8,153080.0,91605.0,122203.0,77991.0,11593.0
9,154335.0,92430.0,122949.0,78791.0,12424.0
10,161713.0,92990.0,123600.0,79537.0,12731.0
11,149228.0,93437.0,124293.0,80418.0,12915.0
12,153613.0,95471.0,124949.0,81313.0,13091.0
13,152313.0,95077.0,125779.0,82411.0,13786.0
14,151784.0,95049.0,126415.0,83388.0,14315.0
15,152906.0,95272.0,127451.0,84440.0,14779.0
16,151165.0,96141.0,128279.0,85513.0,15249.0
17,148276.0,96678.0,128935.0,86562.0,15895.0
18,150196.0,96911.0,129627.0,87534.0,16654.0
19,154654.0,96768.0,130595.0,88966.0,16817.0
20,148753.0,97998.0,131208.0,90072.0,17543.0
21,151892.0,99014.0,132009.0,90843.0,18106.0
22,151250.0,99312.0,133053.0,92211.0,18517.0
23,150699.0,102202.0,133809.0,93705.0,19131.0
24,160780.0,101401.0,134738.0,94645.0,19792.0
25,149442.0,101073.0,135712.0,96014.0,20776.0
26,148495.0,101098.0,136878.0,97342.0,21370.0
27,150667.0,102117.0,137888.0,98812.0,22425.0
28,148506.0,102997.0,139412.0,99897.0,22971.0
29,151328.0,102995.0,140770.0,101875.0,24073.0
30,153447.0,105395.0,141852.0,103620.0,24809.0
31,154160.0,106755.0,143062.0,105342.0,25414.0
32,153077.0,107480.0,144337.0,107255.0,26251.0
33,150003.0,106842.0,145414.0,108332.0,27330.0
34,151790.0,106554.0,146645.0,110231.0,27832.0
35,157725.0,108201.0,148176.0,112052.0,28996.0
36,156734.0,108341.0,149192.0,113409.0,30133.0
37,149360.0,109277.0,150488.0,114808.0,31696.0
38,153130.0,111247.0,151717.0,115940.0,31911.0
39,155840.0,110985.0,153394.0,117378.0,32720.0
40,148529.0,109526.0,154499.0,118727.0,33593.0
41,154523.0,111550.0,155933.0,120011.0,34142.0
42,152497.0,115571.0,157314.0,121503.0,35924.0
43,157223.0,113163.0,158637.0,124030.0,37184.0
44,158135.0,115207.0,159683.0,126426.0,37033.0
45,150800.0,114889.0,160771.0,128148.0,38460.0
46,154551.0,117313.0,161914.0,129927.0,39336.0
47,150014.0,116118.0,163161.0,132053.0,40122.0
48,154620.0,116551.0,164834.0,134608.0,41350.0
49,153613.0,120423.0,167037.0,136753.0,42985.0
50,148233.0,119000.0,168441.0,139414.0,44225.0
51,153057.0,119003.0,170538.0,141502.0,44456.0
52,151540.0,124228.0,172531.0,143399.0,46499.0
53,151322.0,122031.0,173724.0,145213.0,46667.0
54,154469.0,122878.0,176488.0,147385.0,49569.0
55,151248.0,124365.0,178319.0,149177.0,48792.0
56,152745.0,122764.0,180239.0,151605.0,49715.0
57,156651.0,129424.0,182126.0,153912.0,50837.0
58,151703.0,126305.0,183437.0,156299.0,52977.0
59,149909.0,123499.0,184257.0,157582.0,54670.0
60,149939.0,124602.0,185216.0,158861.0,55650.0
61,152720.0,129467.0,186910.0,158641.0,56668.0
62,148362.0,134969.0,188998.0,160235.0,59585.0
63,147908.0,136919.0,190170.0,161197.0,58725.0
64,156417.0,129733.0,192442.0,162989.0,60403.0
65,150815.0,131430.0,193339.0,163711.0,62683.0
66,156656.0,132915.0,193529.0,166893.0,63269.0
67,161487.0,132522.0,195833.0,168279.0,64770.0
68,148082.0,134679.0,198341.0,168277.0,67410.0
69,155649.0,134704.0,199351.0,169904.0,67751.0
70,153352.0,145053.0,201071.0,170647.0,69939.0
71,147451.0,132414.0,203361.0,172324.0,70126.0
72,159867.0,137511.0,204896.0,175477.0,71934.0
73,150194.0,135525.0,205642.0,176240.0,73204.0
74,149794.0,141164.0,206607.0,176750.0,74162.0
75,156692.0,141834.0,207626.0,177966.0,76013.0
76,152203.0,136475.0,210691.0,179596.0,76784.0
77,151400.0,141586.0,212126.0,179231.0,78896.0
78,148710.0,144760.0,215123.0,180643.0,80612.0
79,154098.0,138995.0,216872.0,182465.0,83063.0
80,153668.0,144441.0,218080.0,184134.0,84070.0
81,150623.0,145514.0,219813.0,185598.0,86154.0
82,149755.0,147549.0,222475.0,188585.0,87951.0
83,150413.0,157498.0,223722.0,191565.0,88612.0
84,151967.0,151670.0,226685.0,194497.0,90951.0
85,154562.0,147591.0,229251.0,197935.0,96309.0
86,155695.0,148154.0,231628.0,200194.0,93324.0
87,155055.0,152156.0,232294.0,202086.0,99481.0
88,154933.0,152037.0,234105.0,200966.0,96721.0
89,151571.0,148646.0,236263.0,202942.0,98712.0
90,150197.0,159895.0,239300.0,204042.0,102672.0
91,154158.0,152342.0,242628.0,207317.0,102405.0
92,146219.0,151179.0,243923.0,210183.0,104404.0
93,155669.0,156470.0,246745.0,212456.0,106287.0
94,153272.0,161396.0,249339.0,212638.0,107830.0
95,152285.0,153530.0,250704.0,214715.0,109698.0
96,155292.0,157318.0,251519.0,216222.0,111554.0
