,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
0,3286.0,555.0,0.0,0.0,0.0
1,2867.0,555.0,0.0,0.0,0.0
2,3245.0,555.0,0.0,0.0,0.0
3,2977.0,555.0,0.0,0.0,0.0
4,3306.0,555.0,0.0,0.0,0.0
5,3180.0,555.0,0.0,0.0,0.0
6,3245.0,555.0,0.0,0.0,0.0
7,3075.0,556.0,1.0,1.0,0.0
8,2734.0,561.0,6.0,6.0,0.0
9,2886.0,566.0,11.0,11.0,0.0
10,3196.0,581.0,16.0,16.0,0.0
11,2878.0,586.0,21.0,21.0,0.0
12,2702.0,594.0,29.0,29.0,0.0
13,3020.0,603.0,39.0,37.0,0.0
14,2932.0,636.0,47.0,45.0,0.0
15,2755.0,638.0,54.0,56.0,0.0
16,2903.0,640.0,71.0,79.0,0.0
17,2987.0,663.0,78.0,94.0,0.0
18,3104.0,691.0,94.0,108.0,0.0
19,2716.0,710.0,112.0,120.0,0.0
20,2874.0,760.0,123.0,145.0,0.0
21,3147.0,782.0,142.0,170.0,0.0
22,3051.0,832.0,159.0,181.0,0.0
23,2999.0,852.0,168.0,208.0,0.0
24,2922.0,907.0,202.0,236.0,0.0
25,2916.0,914.0,242.0,274.0,0.0
26,2971.0,981.0,294.0,296.0,0.0
27,3031.0,961.0,310.0,346.0,0.0
28,3303.0,1089.0,353.0,381.0,0.0
29,2629.0,1134.0,360.0,410.0,0.0
30,3425.0,1144.0,395.0,465.0,0.0
31,3072.0,1064.0,427.0,499.0,0.0
32,2982.0,1288.0,475.0,541.0,0.0
33,2987.0,1099.0,495.0,583.0,0.0
34,3197.0,1155.0,530.0,590.0,0.0
35,3328.0,1301.0,561.0,625.0,0.0
36,3116.0,1232.0,580.0,658.0,0.0
37,3068.0,1260.0,618.0,680.0,0.0
38,3127.0,1406.0,654.0,712.0,0.0
39,2859.0,1283.0,673.0,739.0,0.0
40,3113.0,1438.0,713.0,787.0,0.0
41,2934.0,1573.0,727.0,817.0,0.0
42,3057.0,1417.0,757.0,845.0,0.0
43,2946.0,1294.0,793.0,887.0,0.0
44,2976.0,1317.0,827.0,895.0,0.0
45,3054.0,1466.0,887.0,931.0,0.0
46,3247.0,1500.0,914.0,942.0,0.0
47,3186.0,1395.0,922.0,954.0,0.0
48,3396.0,1379.0,950.0,1002.0,0.0
49,3030.0,1669.0,972.0,1064.0,0.0
50,2774.0,1749.0,1019.0,1099.0,0.0
51,2923.0,1537.0,1076.0,1156.0,0.0
52,3071.0,1609.0,1101.0,1145.0,0.0
53,2977.0,1798.0,1141.0,1201.0,0.0
54,2725.0,1525.0,1222.0,1218.0,0.0
55,3057.0,1614.0,1244.0,1248.0,0.0
56,3141.0,1686.0,1304.0,1286.0,0.0
57,3326.0,1624.0,1365.0,1317.0,0.0
58,3042.0,1976.0,1387.0,1345.0,0.0
59,2832.0,2189.0,1432.0,1366.0,0.0
60,2981.0,2274.0,1468.0,1400.0,0.0
61,3214.0,1841.0,1489.0,1503.0,0.0
62,2872.0,1855.0,1539.0,1573.0,0.0
63,3145.0,2245.0,1613.0,1649.0,0.0
64,3334.0,1817.0,1641.0,1719.0,0.0
65,2846.0,1985.0,1635.0,1795.0,0.0
66,3042.0,2229.0,1625.0,1845.0,0.0
67,2833.0,1727.0,1635.0,1891.0,0.0
68,3262.0,2175.0,1700.0,1952.0,0.0
69,2962.0,1876.0,1770.0,1992.0,0.0
70,2915.0,1823.0,1836.0,2062.0,0.0
71,3098.0,2108.0,1879.0,2083.0,0.0
72,3068.0,2156.0,1927.0,2141.0,0.0
73,3198.0,1930.0,2004.0,2156.0,0.0
74,2859.0,1945.0,2093.0,2253.0,0.0
75,2857.0,2453.0,2166.0,2330.0,0.0
76,2823.0,2054.0,2231.0,2431.0,0.0
77,3272.0,2519.0,2286.0,2480.0,0.0
78,3413.0,2296.0,2339.0,2543.0,0.0
79,2852.0,2422.0,2357.0,2565.0,0.0
80,3303.0,2520.0,2352.0,2544.0,0.0
81,2901.0,2688.0,2396.0,2532.0,0.0
82,3100.0,2398.0,2428.0,2496.0,0.0
83,3057.0,2212.0,2459.0,2505.0,0.0
84,2988.0,2249.0,2465.0,2657.0,0.0
85,3493.0,2670.0,2523.0,2705.0,0.0
86,3166.0,2300.0,2591.0,2849.0,0.0
87,3111.0,2771.0,2584.0,2880.0,0.0
88,3014.0,2388.0,2570.0,2944.0,0.0
89,2773.0,2325.0,2614.0,2976.0,0.0
90,2990.0,2524.0,2609.0,3051.0,0.0
91,3340.0,2601.0,2655.0,3083.0,0.0
92,3128.0,2688.0,2783.0,3141.0,0.0
93,3011.0,2533.0,2726.0,3124.0,0.0
94,2979.0,2725.0,2792.0,3190.0,0.0
95,2997.0,2428.0,2799.0,3267.0,0.0
96,2850.0,2991.0,2790.0,3258.0,0.0
97,3179.0,2988.0,2817.0,3245.0,0.0
98,2902.0,2843.0,2879.0,3167.0,0.0
99,3122.0,2637.0,2954.0,3358.0,0.0
100,3177.0,2744.0,2989.0,3453.0,0.0
101,3127.0,2595.0,3355.0,3637.0,0.0
102,2904.0,2655.0,3357.0,3443.0,0.0
103,3149.0,2861.0,3187.0,3437.0,0.0
104,3301.0,3216.0,3387.0,3685.0,0.0
105,2618.0,2730.0,3517.0,3303.0,0.0
106,2900.0,2857.0,3081.0,3545.0,0.0
107,3139.0,2606.0,3507.0,3791.0,0.0
108,3139.0,2461.0,3346.0,3462.0,0.0
109,3206.0,2815.0,3031.0,3585.0,0.0
110,2803.0,2846.0,3000.0,3636.0,0.0
111,3226.0,2178.0,3327.0,3333.0,0.0
112,2929.0,3183.0,3005.0,3653.0,0.0
113,2999.0,3342.0,3272.0,3450.0,0.0
114,3455.0,2841.0,3428.0,3456.0,0.0
115,2853.0,2179.0,3279.0,3477.0,0.0
116,2797.0,2683.0,3200.0,3220.0,0.0
117,2770.0,2235.0,3467.0,3353.0,0.0
118,2946.0,2603.0,3245.0,3403.0,0.0
119,3158.0,2928.0,3256.0,3072.0,0.0
120,2911.0,2775.0,3561.0,3125.0,0.0
121,2841.0,2916.0,3288.0,3092.0,0.0
122,3020.0,2796.0,3150.0,2988.0,0.0
123,2944.0,2818.0,3199.0,3099.0,0.0
124,2942.0,2727.0,3078.0,2718.0,0.0
125,3109.0,2381.0,3009.0,2991.0,0.0
126,3328.0,2366.0,3207.0,2931.0,0.0
127,3067.0,2328.0,2988.0,2710.0,0.0
128,2968.0,2237.0,2833.0,2959.0,0.0
129,3135.0,2420.0,3053.0,2773.0,0.0
130,2764.0,2257.0,3003.0,2727.0,0.0
131,3052.0,2379.0,2775.0,2987.0,0.0
132,3303.0,2567.0,3029.0,2699.0,0.0
133,2993.0,1919.0,3037.0,2743.0,0.0
134,2799.0,2272.0,2790.0,2932.0,0.0
135,2920.0,2326.0,2751.0,2681.0,0.0
136,2961.0,2129.0,2787.0,2837.0,0.0
137,3029.0,1934.0,2603.0,2785.0,0.0
138,2641.0,2017.0,2677.0,2737.0,0.0
139,3039.0,2127.0,2769.0,2743.0,0.0
140,2885.0,1967.0,2646.0,2684.0,0.0
141,2999.0,2189.0,2624.0,2544.0,0.0
142,3060.0,2201.0,2698.0,2656.0,0.0
143,2817.0,2080.0,2514.0,2422.0,0.0
144,2927.0,2087.0,2465.0,2581.0,0.0
145,3065.0,2035.0,2819.0,2383.0,0.0
146,2707.0,2063.0,2609.0,2499.0,0.0
147,2881.0,2296.0,2472.0,2568.0,0.0
148,2698.0,2042.0,2433.0,2345.0,0.0
149,3460.0,2176.0,2373.0,2459.0,0.0
150,3181.0,2053.0,2295.0,2357.0,0.0
151,3164.0,1846.0,2449.0,2299.0,0.0
152,3267.0,2235.0,2450.0,2290.0,0.0
