,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
100,735.0,766.0,888.0,702.0,534.0
200,1776.0,1721.0,2061.0,1732.0,1264.0
400,4017.0,3816.0,5042.0,4206.0,2935.0
800,8991.0,8835.0,12885.0,10079.0,6687.0
1600,19335.0,22229.0,30843.0,25760.0,14896.0
3200,42619.0,44269.0,74876.0,58461.0,33053.0
6400,93955.0,94607.0,186601.0,143294.0,72469.0
12800,199883.0,208074.0,469838.0,310816.0,157681.0
25600,431217.0,475689.0,1199798.0,802210.0,341033.0
51200,937441.0,1035958.0,3113805.0,1698826.0,733110.0
102400,1989353.0,2129263.0,8065044.0,4065078.0,1569061.0
204800,4144243.0,4538325.0,21290916.0,9183257.0,3342515.0
