,Median of three Quick Sort,Dual Pivot QuickSort,Kernigan Richi shellsort,Knutt shellsort,Tim sort
100,449.0,411.0,438.0,397.0,0.0
200,1104.0,914.0,969.0,1005.0,0.0
400,2361.0,2141.0,2445.0,2525.0,0.0
800,4965.0,4670.0,6896.0,6197.0,0.0
1600,10906.0,9902.0,17248.0,16866.0,0.0
3200,23261.0,21211.0,44507.0,39104.0,0.0
6400,51405.0,45062.0,119386.0,100036.0,0.0
12800,119340.0,93564.0,322577.0,215534.0,0.0
25600,230278.0,207387.0,879883.0,597923.0,0.0
51200,526542.0,424261.0,2422553.0,1254631.0,0.0
102400,1067782.0,949411.0,6580282.0,3113877.0,0.0
204800,2255669.0,1893803.0,18116277.0,7154931.0,0.0
